지역명,평당분양가격,월,연도
대구,10385.1,10,2016.0
광주,8992.5,10,2016.0
대전,10117.8,10,2016.0
울산,10576.5,10,2016.0
세종,8910.0,10,2016.0
강원,7052.099999999999,10,2016.0
충북,6923.4,10,2016.0
충남,7415.099999999999,10,2016.0
전북,6359.099999999999,10,2016.0
전남,6540.599999999999,10,2016.0
경북,7570.2,10,2016.0
경남,7959.599999999999,10,2016.0
제주,10173.9,10,2016.0
서울,21021.0,11,2016.0
인천,10398.3,11,2016.0
경기,11701.8,11,2016.0
부산,10173.9,11,2016.0
대구,10259.7,11,2016.0
광주,9157.5,11,2016.0
대전,8860.5,11,2016.0
울산,10758.0,11,2016.0
세종,8916.6,11,2016.0
강원,6834.299999999999,11,2016.0
충북,7012.5,11,2016.0
충남,7514.099999999999,11,2016.0
전북,6362.4,11,2016.0
전남,6784.799999999999,11,2016.0
경북,7570.2,11,2016.0
경남,7784.7,11,2016.0
제주,10253.1,11,2016.0
서울,21261.9,12,2016.0
인천,10335.6,12,2016.0
경기,11731.5,12,2016.0
부산,10734.9,12,2016.0
대구,10375.2,12,2016.0
광주,9183.9,12,2016.0
대전,8860.5,12,2016.0
울산,10758.0,12,2016.0
세종,8926.5,12,2016.0
강원,6887.099999999999,12,2016.0
충북,6867.299999999999,12,2016.0
충남,7504.2,12,2016.0
전북,6613.2,12,2016.0
전남,6857.4,12,2016.0
경북,7626.299999999999,12,2016.0
경남,7880.4,12,2016.0
제주,10335.6,12,2016.0
서울,21285.0,1,2017.0
인천,10335.6,1,2017.0
경기,11728.2,1,2017.0
부산,10705.2,1,2017.0
대구,10299.3,1,2017.0
광주,9167.4,1,2017.0
대전,8860.5,1,2017.0
울산,10758.0,1,2017.0
세종,8926.5,1,2017.0
강원,6880.5,1,2017.0
충북,6946.5,1,2017.0
충남,7375.5,1,2017.0
전북,6619.799999999999,1,2017.0
전남,6857.4,1,2017.0
경북,7629.599999999999,1,2017.0
경남,7887.0,1,2017.0
제주,10309.2,1,2017.0
서울,21331.2,2,2017.0
인천,10451.1,2,2017.0
경기,11903.1,2,2017.0
부산,10701.9,2,2017.0
대구,10421.4,2,2017.0
광주,9167.4,2,2017.0
대전,8979.3,2,2017.0
울산,10767.9,2,2017.0
세종,8926.5,2,2017.0
강원,6897.0,2,2017.0
충북,6745.2,2,2017.0
충남,7378.799999999999,2,2017.0
전북,6629.7,2,2017.0
전남,6906.9,2,2017.0
경북,7613.099999999999,2,2017.0
경남,7867.2,2,2017.0
제주,10342.2,2,2017.0
서울,21021.0,3,2017.0
인천,10490.7,3,2017.0
경기,11985.6,3,2017.0
부산,10857.0,3,2017.0
대구,10560.0,3,2017.0
광주,9183.9,3,2017.0
대전,8979.3,3,2017.0
울산,10767.9,3,2017.0
세종,8926.5,3,2017.0
강원,6824.4,3,2017.0
충북,6520.799999999999,3,2017.0
